belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,name_director,release_year,return
Starship Troopers Collection,105000000,"Adventure, Action, Thriller, Science Fiction",563,en,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",14.412644,"TriStar Pictures, Touchstone Pictures, Big Bug Pictures",United States of America,1997-11-06,121214377.0,129.0,English,Released,The only good bug is a dead bug.,Starship Troopers,6.7,1584.0,"Casper Van Dien, Dina Meyer, Denise Richards",Paul Verhoeven,1997,1.154422638095238
,0,"Comedy, Drama",61337,en,"Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his $10 million estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient?",2.287762,"Live Entertainment, Mediaworks, ASQA Film Partnership","United States of America, Australia",1997-10-31,0.0,107.0,English,Released,,Critical Care,6.1,9.0,"James Spader, Kyra Sedgwick, Helen Mirren",Sidney Lumet,1997,0.0
,11000000,Drama,19931,en,"Through a series of flashbacks, four young chinese women born in America and their respective mothers born in feudal China, explore their past. This search will help them understand their difficult mother/daughter relationship.",3.01386,Hollywood Pictures,"United States of America, China",1993-09-08,32861136.0,139.0,"广州话 / 廣州話, English, Français, 普通话",Released,Between every mother and daughter there is a story that must be told.,The Joy Luck Club,7.1,34.0,"Ming-Na Wen, Lauren Tom, Tamlyn Tomita",Wayne Wang,1993,2.987376
,0,Comedy,31535,en,A surfer becomes the head of a major company.,1.422904,101st Street Films,United States of America,1998-03-13,0.0,95.0,English,Released,Work sucks!,Chairman of the Board,2.7,13.0,"Scott 'Carrot Top' Thompson, Courtney Thorne-Smith, Larry Miller",Alex Zamm,1998,0.0
,6000000,"Comedy, Drama, Fantasy, Romance",10215,en,"Gwyneth Paltrow plays London publicist Helen, effortlessly sliding between parallel storylines that show what happens if she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",9.7866,"Paramount Pictures, Miramax Films, Intermedia Films, Mirage Enterprises","United Kingdom, United States of America",1998-04-23,58000000.0,99.0,English,Released,What if one split second sent your life in two completely different directions?.,Sliding Doors,6.6,363.0,"Gwyneth Paltrow, John Hannah, John Lynch",Peter Howitt,1998,9.666666666666666
Mortal Kombat Collection,30000000,"Action, Fantasy, Science Fiction",9823,en,"A group of heroic warriors has only six days to save the planet in ""Mortal Kombat Annihilation."" To succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil warlord bent on taking control of Earth. Sequel to the film ""Mortal Kombat,"" and based on the popular video game.",6.532498,"New Line Cinema, Threshold Entertainment",United States of America,1997-11-21,51376861.0,95.0,English,Released,"The world was created in six days, so too shall it be destroyed and on the seventh day mankind will rest... in peace",Mortal Kombat: Annihilation,3.8,225.0,"Robin Shou, Talisa Soto, James Remar",John R. Leonetti,1997,1.7125620333333333
,60000000,"Comedy, Drama",37165,en,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",13.155901,"Paramount Pictures, Scott Rudin Productions",United States of America,1998-06-04,264118201.0,103.0,English,Released,On the air. Unaware.,The Truman Show,7.8,4702.0,"Jim Carrey, Laura Linney, Noah Emmerich",Peter Weir,1998,4.401970016666667
,0,"Drama, Romance",45609,en,"Kate is secretly betrothed to a struggling journalist, Merton Densher. But she knows her Aunt Maude will never approve of the match, since Kate's deceased mother has lost all her money in a marriage to a degenerate opium addict. When Kate meets a terminally ill American heiress named Millie traveling through Europe, she comes up with a conniving plan to have both love and wealth.",3.377578,Miramax Films,United Kingdom,1997-11-07,0.0,102.0,"English, Italiano",Released,A couple with everything but money. An heiress with everything but love. A temptation no one could resist.,The Wings of the Dove,6.9,34.0,"Helena Bonham Carter, Alison Elliott, Elizabeth McGovern",Iain Softley,1997,0.0
,0,"Drama, Romance",38904,en,"As society hostess Clarissa Dalloway prepares for another of her legendary parties, she finds herself haunted by figures and scenes from her passionate adolescence.",1.335544,"Bergen Film, First Look International","Netherlands, United Kingdom, United States of America",1997-09-01,3309421.0,97.0,English,Released,,Mrs. Dalloway,5.4,7.0,"Vanessa Redgrave, Natascha McElhone, Michael Kitchen",Marleen Gorris,1997,0.0
,0,"Drama, Family, Romance",45565,en,School student and her European-born grandmother share sad stories of their lives.,0.380405,,,1996-08-28,0.0,88.0,,Rumored,,"I Love You, I Love You Not",5.0,10.0,"Claire Danes, Jude Law, Jeanne Moreau",Billy Hopkins,1996,0.0
,48000000,"Crime, Drama, Thriller",9407,en,"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country.",3.288944,"Metro-Goldwyn-Mayer (MGM), Avnet/Kerner Productions",United States of America,1997-10-30,0.0,122.0,"English, 普通话",Released,Leniency for those who confess...,Red Corner,5.9,79.0,"Richard Gere, Bai Ling, Bradley Whitford",Jon Avnet,1997,0.0
,60000000,"Action, Thriller, Adventure, Crime",4824,en,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, the perfectionist Jackal proves an elusive target for the men charged with the task of bringing him down: a deputy FBI boss and a former IRA terrorist.",11.131917,"Universal Pictures, Toho-Towa, Mutual Film Company, Marubeni, Tele München Fernseh Produktionsgesellschaft (TMG), Alphaville Films, British Broadcasting Corporation (BBC), UGC PH, Mel's Cite du Cinema",United States of America,1997-11-14,159330280.0,124.0,"English, Pусский",Released,How do you stop an assassin who has no identity?,The Jackal,6.1,536.0,"Bruce Willis, Richard Gere, Sidney Poitier",Michael Caton-Jones,1997,2.655504666666667
,53000000,"Animation, Family",9444,en,"This animated adventure retells the story of the lost daughter of Russia's last czar. The evil Rasputin places a curse on the Romanov family, and Anastasia and her grandmother, Empress Maria, get separated. After growing up in an orphanage, Anastasia encounters two Russian men seeking a reward offered by Empress Maria for the return of her granddaughter. The trio travels to Paris, where they find that the empress has grown skeptical of imposters.",11.911173,"Twentieth Century Fox Film Corporation, Fox Animation Studios, Fox Family Films, The Big Gun Project, Little Wolf Entertainment",United States of America,1997-11-20,139804348.0,94.0,"English, Pусский, Français",Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,Anastasia,7.4,1481.0,"Meg Ryan, John Cusack, Christopher Lloyd",Gary Goldman,1997,2.637817886792453
,20000000,"Comedy, Thriller, Crime, Action",9414,en,"An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",4.827771,"Regency Enterprises, Taurus Films, Polar Productions, Warner Bros.",United States of America,1997-11-14,13801755.0,97.0,English,Released,"He’s on a mission so secret, even he doesn’t know about it.",The Man Who Knew Too Little,6.5,126.0,"Bill Murray, Peter Gallagher, Joanne Whalley",Jon Amiel,1997,0.69008775
Alien Collection,70000000,"Science Fiction, Horror, Action",8078,en,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",15.57784,"Twentieth Century Fox Film Corporation, Brandywine Productions",United States of America,1997-11-12,162000000.0,109.0,English,Released,It's already too late.,Alien: Resurrection,5.9,1388.0,"Sigourney Weaver, Winona Ryder, Brad Dourif",Jean-Pierre Jeunet,1997,2.3142857142857145
,1000000,"Horror, Science Fiction",29938,en,No overview found.,0.106499,,United States of America,1996-01-01,0.0,85.0,English,Released,Run Baby Run!,Alien Escape,4.5,2.0,"Gail Harris, Bernie Van De Yacht, Heather Ford",Scott Harris,1996,0.0
,36000000,"Drama, History, Mystery",11831,en,"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.",2.263584,DreamWorks SKG,United States of America,1997-12-03,74000000.0,155.0,"English, Español",Released,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,Amistad,6.8,324.0,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins",Steven Spielberg,1997,2.0555555555555554
,5000000,Drama,2895,en,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",9.21174,Butcher's Run Productions,United States of America,1997-10-09,0.0,134.0,English,Released,The hardest soul to save was his own.,The Apostle,6.1,39.0,"Robert Duvall, Billy Bob Thornton, June Carter Cash",Robert Duvall,1997,0.0
,0,"Drama, History",39177,fr,"Artemisia Gentileschi (1593-1653) was one of the first well-known female painters. The movie tells the story of her youth, when she was guided and protected by her father, the painter Orazio Gentileschi. Her professional curiosity about the male anatomy, forbidden for her eyes, led her to the knowledge of sexual pleasure. But she was also well known because in 1612 she had to appear in a courtroom because her teacher, Agostino Tassi, was suspected of raping her. She tried to protect him, but was put in the thumb screws...",0.989115,France 3 Cinema,France,1997-09-10,0.0,98.0,Français,Released,Her passion for her art changed the face of history.,Artemisia,6.2,10.0,"Valentina Cervi, Michel Serrault, Predrag 'Miki' Manojlović",Agnès Merlet,1997,0.0
,0,"Drama, History, Romance",19601,en,"Max is a handsome young man who, after a fateful tryst with a German soldier, is forced to run for his life. Eventually Max is placed in a concentration camp where he pretends to be Jewish because in the eyes of the Nazis, gays are the lowest form of human being. But it takes a relationship with an openly gay prisoner to teach Max that without the love of another, life is not worth living.",3.546605,"Channel Four Films, ASK Kodansha, NDF Inc.",United Kingdom,1997-11-26,0.0,105.0,English,Released,,Bent,6.3,34.0,"Clive Owen, Lothaire Bluteau, Ian McKellen",Sean Mathias,1997,0.0
,0,Drama,124606,en,"A young woman in L.A. is having a bad day: she's evicted, an audition ends with a producer furious she won't trade sex for the part, and a policeman nabs her for something she didn't do, demanding fellatio to release her. She snaps, grabs his gun, takes his uniform, and leaves him cuffed to a tree where he's soon having a defenseless chat with a homeless man. She takes off on the cop's motorcycle and, for an afternoon, experiences a cop's life. She talks a young man out of suicide and then is plunged into violence after a friendly encounter with two ""vatos."" She is torn between self-protection and others' expectations. Is there any resolution for her torrent of feelings?",0.679528,"Asylum Films, FM Entertainment, Eagle Eye Films Inc.",United States of America,1995-09-09,0.0,98.0,English,Released,Sometimes you've got to break the rules,Bang,6.0,1.0,"Darling Narita, Peter Greene, Michael Newland",Ash Baron-Cohen,1995,0.0
Les Boys,0,Comedy,42832,fr,Every Monday night The Boys put on skates and leave their troubled lives behind.,0.530702,"Telefilm Canada, Melenny Productions, Super Écran, Gouvernement Canadien, Fonds de télévision et de câblodistribution pour la production d'émissions canadiennes, Gouvernement du Québec",Canada,1997-12-12,0.0,107.0,Français,Released,Nothing in the world would make them miss their weekly game...,The Boys,5.4,7.0,"Marc Messier, Rémy Girard, Patrick Huard",Louis Saïa,1997,0.0
,0,"Comedy, Drama",22797,en,"Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences.",7.801199,"Geffen Pictures, Warner Bros.",United Kingdom,1997-07-13,0.0,110.0,"Gaeilge, English",Released,,The Butcher Boy,6.7,36.0,"Eamonn Owens, Alan Boyle, Fiona Shaw",Neil Jordan,1997,0.0
,20000000,"Comedy, Drama",2639,en,"This film tells the story of a successful writer called Harry Block, played by Allen himself, who draws inspiration from people he knows in real-life, and from events that happened to him, sometimes causing these people to become alienated from him as a result.",6.280515,Fine Line Features,United States of America,1997-08-26,10686841.0,96.0,English,Released,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...,Deconstructing Harry,7.3,188.0,"Woody Allen, Kirstie Alley, Billy Crystal",Woody Allen,1997,0.53434205
,80000000,"Comedy, Family, Science Fiction",9574,en,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",7.016942,"Walt Disney Pictures, Great Oaks Entertainment",United States of America,1997-11-26,177977226.0,93.0,English,Released,Catch it if you can!,Flubber,5.3,707.0,"Robin Williams, Marcia Gay Harden, Christopher McDonald",Les Mayfield,1997,2.224715325
,35000000,Comedy,10371,en,"Brad Sexton and his wife, Caroline, are wealthy New Yorkers with both marital and financial problems. The latter issue becomes a pressing matter when they discover that their accountant has embezzled millions and pinned the blame on them. Forced to go on the lam, Brad and Caroline end up in an Amish area of Pennsylvania and decide to pose as members of the religious group to evade the IRS. As the two adapt to the simple Amish lifestyle, they begin to reconnect.",8.412203,"Universal Pictures, Yorktown Productions, The Bubble Factory, Sheinberg Productions",United States of America,1997-12-11,31611225.0,115.0,English,Released,,For Richer or Poorer,5.6,43.0,"Tim Allen, Kirstie Alley, Wayne Knight",Bryan Spicer,1997,0.9031778571428571
,10000000,Drama,489,en,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",15.064833,"Miramax Films, Lawrence Bender Productions, Be Gentlemen Limited Partnership","Canada, United States of America",1997-12-05,225933435.0,126.0,English,Released,"Some people can never believe in themselves, until someone believes in them.",Good Will Hunting,7.9,2880.0,"Robin Williams, Matt Damon, Ben Affleck",Gus Van Sant,1997,22.5933435
,0,,167738,en,"A young, female filmmaker looks through her camera for an object to film. She wants to film the private live of an ordinary person and starts following Guy. He is very irritated about this girl following him, always looking through her camera, never showing herself. She does not even say her name but follows him even home to his bedroom. He tries to get rid of her but she does not stop. After a while he gets used to the camera and the girl behind it and tries to get involved with her. First she protects herself with her camera but cannot keep the barrier up. When their feelings and Guy's actions become too confusing for them Guy disappears mysteriously.",0.60839,,,1997-12-17,0.0,91.0,English,Released,She was looking for something special. She found much more than she was looking for.,Guy,6.0,1.0,"Vincent D'Onofrio, Hope Davis",Michael Lindsay-Hogg,1997,0.0
,0,,293820,en,Directed by Goetz Grossmann,0.001177,,,1997-11-26,0.0,0.0,,Released,,Tar,0.0,0.0,,,1997,0.0
Home Alone Collection,32000000,"Comedy, Family",9714,en,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try break into his house to get it back.",8.04209,"Twentieth Century Fox Film Corporation, Hughes Entertainment",United States of America,1997-12-12,79082515.0,102.0,"Polski, English",Released,Ready for more. Much more.,Home Alone 3,5.1,632.0,"Alex D. Linz, Olek Krupa, Rya Kihlstedt",Raja Gosnell,1997,2.47132859375
,0,Drama,102406,en,"WEST AFRICA 1869 - Slave trade is illegal. There is a revolt on a slave ship - twenty four men fight for their lives. Out-gunned, the revolt fails but a second uprising is planned.",0.001178,,,1997-12-05,0.0,101.0,,Released,,Ill Gotten Gains,0.0,0.0,,,1997,0.0
,0,"Horror, Drama",170430,en,"After suspecting her husband is playing the field, a nervous woman finds a sympathetic ear in the form of a strange man. The drawback is that her sensitive new-found friend is an obsessive psychopath.",0.79822,"The Image Organization, M.O.D. Productions Inc.",,1997-11-18,0.0,94.0,,Released,"If he can't have her, no one can.",Man of Her Dreams,0.0,0.0,"William R. Moses, Lysette Anthony, Patrick Cassidy",Martin Kitrosser,1997,0.0
,35000000,"Crime, Drama, Mystery, Thriller",8197,en,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",5.145907,"Warner Bros., Malpaso Company",United States of America,1997-11-21,25105255.0,155.0,English,Released,,Midnight in the Garden of Good and Evil,6.3,161.0,"John Cusack, Kevin Spacey, Jude Law",Clint Eastwood,1997,0.717293
,38000000,"Comedy, Family",6283,en,"Down-on-their luck brothers, Lars and Ernie Smuntz, aren't happy with the crumbling old mansion they inherit... until they discover the estate is worth millions. Before they can cash in, they have to rid the house of it's single, stubborn occupant: a tiny and tenacious mouse.",6.456233,DreamWorks,United States of America,1997-12-19,122417389.0,98.0,English,Released,Who's hunting who?,MouseHunt,6.2,297.0,"Nathan Lane, Lee Evans, Vicki Lewis",Gore Verbinski,1997,3.2215102368421054
,0,,279698,en,Film from Stephen Kijak,0.001746,,,1996-01-01,0.0,0.0,,Released,,Never Met Picasso,0.0,0.0,,,1996,0.0
,0,"Comedy, Horror, Thriller",49728,en,"When Dorine Douglas' job as proofreader for Constant Consumer magazine is turned into an at-home position during a downsizing, she doesn't know how to cope. But after accidentally killing one of her co-workers, she discovers that murder can quench the loneliness of her home life, as a macabre office place forms in her basement, populated by dead co-workers.",0.582559,,United States of America,1997-01-01,0.0,82.0,English,Released,Working here can be murder,Office Killer,5.0,14.0,"Carol Kane, Molly Ringwald, Jeanne Tripplehorn",Cindy Sherman,1997,0.0
,0,Drama,64562,en,"Truman Capote's semi-autobiographical first novel about coming of age in the Deep South during the 1930s centers on 13-year-old Joel Sansom (David Speck), who reunites with his estranged father at the family's shabby plantation, where he must contend with his father's feisty mistress and a strange cousin. Against this less-than-ideal backdrop, Joel slowly matures into an upstanding young man.",0.03668,,,1995-09-15,0.0,0.0,,Released,,Other Voices Other Rooms,10.0,1.0,Anna Levine,,1995,0.0
Scream Collection,24000000,"Horror, Mystery",4233,en,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",11.264845,"Miramax Films, Konrad Pictures, Maven Entertainment, Dimension Films",United States of America,1997-12-09,172363301.0,120.0,English,Released,Someone has taken their love of sequels one step too far.,Scream 2,6.1,856.0,"David Arquette, Neve Campbell, Courteney Cox",Wes Craven,1997,7.181804208333333
,0,Thriller,191874,en,"A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!",0.127077,"Allegro Films, The Image Organization","United States of America, Canada",1997-01-01,0.0,94.0,English,Released,When the lights go out... the terror begins,Stranger in the House,0.0,0.0,"Michele Greene, Bruce Dinsmore, Steve Railsback",Rodney Gibbons,1997,0.0
,5000000,Drama,10217,en,"A small mountain community in Canada is devastated when a school bus accident leaves more than a dozen of its children dead. A big-city lawyer arrives to help the survivors' and victims' families prepare a class-action suit, but his efforts only seem to push the townspeople further apart. At the same time, one teenage survivor of the accident has to reckon with the loss of innocence brought about by a different kind of damage.",6.002992,"Fine Line Features, Alliance Communications",Canada,1997-05-14,3263585.0,112.0,"English, Español",Released,There is no such thing as the simple truth.,The Sweet Hereafter,6.8,108.0,"Ian Holm, Caerthan Banks, Sarah Polley",Atom Egoyan,1997,0.652717
,0,Science Fiction,438108,en,"When the discovery of a five-thousand year old artifact of a humanoid reptile leads an investigative reporter to the Kronos Project, he uncovers an experimental device created to send humans through time, controlled by a ruthless multi-billionaire. As the Kronos experiment progresses through the Civil War era to the Jurassic age, high-tech sabotage and deceit ensue, resulting in devastating events that lead to a ripple in time, a paradox, that if not contained could change the entire course of evolution and destroy the universe as we know it.",0.001247,Chase Regency,United States of America,1997-12-16,0.0,101.0,English,Released,A race against death!,Time Tracers,0.0,0.0,"Rocky Patterson, Dorenda Moore, Tyler Mason",Bret McCormick,1997,0.0
,200000000,"Drama, Romance, Thriller",597,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",United States of America,1997-11-18,1845034188.0,194.0,"English, Français, Deutsch, svenska, Italiano, Pусский",Released,Nothing on Earth could come between them.,Titanic,7.5,7770.0,"Kate Winslet, Leonardo DiCaprio, Frances Fisher",James Cameron,1997,9.22517094
James Bond Collection,110000000,"Adventure, Action, Thriller",714,en,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,17.159576,Eon Productions,"United Kingdom, United States of America",1997-12-11,333011068.0,119.0,"Deutsch, English, Dansk, 普通话, 广州话 / 廣州話",Released,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,Tomorrow Never Dies,6.0,941.0,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh",Roger Spottiswoode,1997,3.0273733454545453
,0,Drama,52537,en,"This retelling of Charles Dickens's Oliver Twist may be populated by drug pushers, pimps and prostitutes, but the book's classic themes remain the same. Caught under the thumb of a lecherous brothel owner, 10-year-old Lee befriends an aspiring musician named Angel who helps him escape his servitude and sends a maternal drag queen to vanquish the boy's enemies.",0.516097,"Miravista Films, Don Quixote",United States of America,1996-11-14,0.0,100.0,English,Released,"""Oliver Twist"" re-imagined with hustlers, addicts and drag queens.",Twisted,4.5,1.0,"Ray Aranha, Keivyn McNeill Grayes, Elise Ballard",Seth Michael Donsky,1996,0.0
,0,"Romance, Drama",12799,fr,"A brief extract of four kids' lives somewhere in France. Quentin, who won a writers contest and now pays more attention to his career as an author than to his friends, beautiful Julie, his girl-friend, much more mature than she looks, falling in love with Quentin's very best friend Jimmy, who is kind of stuck in his unability of self-expression and grown up under bad social circumstances. And there is the shy boy Samir, exiled from Algeria, who lost his ""brother"" and only friend some time ago. Samir heavily falls in love with Quentin, but he can't handle it...",0.384033,,France,1996-09-25,0.0,85.0,Français,Released,,Full Speed,6.6,4.0,"Élodie Bouchez, Stéphane Rideau, Pascal Cervo",Gaël Morel,1996,0.0
,0,Drama,62394,it,"Little Tree is an 8-year-old Cherokee boy, who, during the time of the depression, loses his parents and starts to live with his Indian grandma and grandpa and learn the wisdom of the Cherokee way of life.",0.007123,"Allied Films, Lightmotive",Canada,1997-12-25,0.0,115.0,English,Released,A boy of two worlds must learn to be his own man.,The Education of Little Tree,0.0,0.0,"Joseph Ashton, James Cromwell, Tantoo Cardinal",Richard Friedenberg,1997,0.0
The Postman Collection,80000000,"Drama, Adventure",9922,en,"In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope.",6.537407,"Tig Productions, Warner Bros.",United States of America,1997-12-25,17626234.0,177.0,"English, Français",Released,The year is 2013. One man walked in off the horizon and hope came with him.,The Postman,6.1,306.0,"Kevin Costner, Will Patton, Olivia Williams",Kevin Costner,1997,0.220327925
,60000000,"Drama, Romance",547,en,"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing.",7.685548,"Wildwood Enterprises, Touchstone Pictures",United States of America,1998-05-14,186883563.0,170.0,English,Released,,The Horse Whisperer,6.7,296.0,"Robert Redford, Kristin Scott Thomas, Sam Neill",Robert Redford,1998,3.11472605
,0,Drama,25994,en,"The plot of the story is interactions between two young boys, two teenagers, a mother, a grandmother, and two elderly women. It can be said though that the main actor in the film is frozen sea, and the rest of the stories are only surreal background to it.",0.923637,,"United Kingdom, United States of America",1997-12-27,0.0,108.0,English,Released,,The Winter Guest,6.9,10.0,"Emma Thompson, Phyllida Law, Sheila Reid",Alan Rickman,1997,0.0
,12000000,"Comedy, Crime, Romance",184,en,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”.",16.415498,Miramax Films,United States of America,1997-12-24,39673162.0,154.0,English,Released,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Jackie Brown,7.3,1580.0,"Pam Grier, Samuel L. Jackson, Robert Forster",Quentin Tarantino,1997,3.306096833333333
,28000000,Drama,9746,en,"The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.",5.01752,Touchstone Pictures,United States of America,1997-12-25,5684789.0,134.0,"English, 普通话, ",Released,,Kundun,6.8,92.0,"Tenzin Thuthob Tsarong, Tencho Gyalpo, Tsewang Migyur Khangsar",Martin Scorsese,1997,0.20302817857142857
,30000000,"Comedy, Family",9438,en,"Mr.Magoo, a man with terrible eyesight, gets caught up in a museum robbery.",9.474269,Walt Disney Pictures,United States of America,1997-12-25,0.0,84.0,English,Released,You won't believe your eyes.,Mr. Magoo,3.9,75.0,"Leslie Nielsen, Kelly Lynch, Matt Keeslar",Stanley Tong,1997,0.0
,15000000,"Comedy, Crime",115,en,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",15.952524,"Gramercy Pictures, PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America",1998-03-06,46189568.0,117.0,"English, עִבְרִית, Español, Deutsch",Released,Times like these call for a Big Lebowski.,The Big Lebowski,7.8,3001.0,"Jeff Bridges, John Goodman, Julianne Moore",Joel Coen,1998,3.0793045333333335
,0,"Drama, Romance, Comedy",26941,en,A handyman with marital problems meets a housewife with the same.,1.426289,Sony Pictures Classics,United States of America,1997-12-26,2465960.0,119.0,"English, Français",Released,,Afterglow,7.2,5.0,"Nick Nolte, Julie Christie, Lara Flynn Boyle",Alan Rudolph,1997,0.0
,0,"Drama, Comedy",27103,fr,"Ludovic is a small boy who cross-dresses and generally acts like a girl, talks of marrying his neighbor's son and can not understand why everyone is so surprised about it. His actions lead to problems for him and his family.",3.237812,"Centre National de la Cinématographie, Canal+","Belgium, France",1997-05-28,0.0,88.0,Français,Released,Sometimes you just have to be yourself.,My Life in Pink,7.2,28.0,"Michèle Laroque, Jean-Philippe Écoffey, Hélène Vincent",Alain Berliner,1997,0.0
,25000000,"Comedy, Drama, Romance",9410,en,"Loosely based on the Charles Dickens' classic novel, ""Great Expectations"" is a sensual tale of a young man's unforgettable passage into manhood, and the three individuals who will undeniably change his life forever. Through the surprising interactions of these vivid characters, ""Great Expectations"" takes a unique and contemporary look at life's great coincidences.",9.941228,"Twentieth Century Fox Film Corporation, Art Linson Productions",United States of America,1998-01-19,55494066.0,111.0,English,Released,Let desire be your destiny.,Great Expectations,6.4,131.0,"Gwyneth Paltrow, Ethan Hawke, Chris Cooper",Alfonso Cuarón,1998,2.21976264
